[2023-09-16T15:54:01+0200] [ALPM] removed libnma-common (1.10.6-2)
[2023-09-16T15:54:01+0200] [ALPM] removed libibus (1.5.28-4)
[2023-09-16T15:54:01+0200] [ALPM] removed accountsservice (23.13.9-1)
[2023-09-16T15:54:01+0200] [ALPM] removed gjs (2:1.76.2-1)
[2023-09-16T15:54:01+0200] [ALPM] removed js102 (102.15.0-1)
[2023-09-16T15:54:01+0200] [ALPM] removed libgdm (44.1-1)
[2023-09-16T15:54:01+0200] [ALPM] removed gnome-settings-daemon (44.1-1)
[2023-09-16T15:54:01+0200] [ALPM] removed pulseaudio-alsa (1:1.2.7.1-2)
[2023-09-16T15:54:01+0200] [ALPM] removed alsa-plugins (1:1.2.7.1-2)
[2023-09-16T15:54:01+0200] [ALPM-SCRIPTLET] Removed "/etc/systemd/user/sockets.target.wants/pulseaudio.socket".
[2023-09-16T15:54:01+0200] [ALPM] removed pulseaudio (16.1-6)
[2023-09-16T15:54:01+0200] [ALPM] removed rtkit (0.13-2)
[2023-09-16T15:54:01+0200] [ALPM] removed libnotify (0.8.2-1)
[2023-09-16T15:54:01+0200] [ALPM] removed libgweather-4 (4.2.0-1)
[2023-09-16T15:54:01+0200] [ALPM] removed geocode-glib-2 (3.26.4-3)
[2023-09-16T15:54:01+0200] [ALPM] removed geocode-glib-common (3.26.4-3)
[2023-09-16T15:54:01+0200] [ALPM] removed geoclue (2.7.1-1)
[2023-09-16T15:54:01+0200] [ALPM] removed upower (1.90.2-1)
[2023-09-16T15:54:01+0200] [ALPM] removed usbmuxd (1.1.1-3)
[2023-09-16T15:54:01+0200] [ALPM] removed libimobiledevice (1.3.0-9)
[2023-09-16T15:54:01+0200] [ALPM] removed libusbmuxd (2.0.2-3)
[2023-09-16T15:54:01+0200] [ALPM] removed libplist (2.3.0-2)
[2023-09-16T15:54:01+0200] [ALPM] removed gnome-session (44.0-1)
[2023-09-16T15:54:01+0200] [ALPM] removed evince (44.3-1)
[2023-09-16T15:54:01+0200] [ALPM] removed poppler-glib (23.08.0-1)
[2023-09-16T15:54:01+0200] [ALPM] removed poppler (23.08.0-1)
[2023-09-16T15:54:01+0200] [ALPM] removed libsynctex (2023.66984-16)
[2023-09-16T15:54:01+0200] [ALPM] removed libspectre (0.2.12-1)
[2023-09-16T15:54:01+0200] [ALPM] removed ghostscript (10.02.0-1)
[2023-09-16T15:54:01+0200] [ALPM] removed poppler-data (0.4.12-1)
[2023-09-16T15:54:01+0200] [ALPM] removed libpaper (2.1.1-1)
[2023-09-16T15:54:01+0200] [ALPM] removed libidn (1.41-1)
[2023-09-16T15:54:01+0200] [ALPM] removed jbig2dec (0.19-1)
[2023-09-16T15:54:01+0200] [ALPM] removed ijs (0.35-5)
[2023-09-16T15:54:01+0200] [ALPM] removed libgxps (0.3.2-4)
[2023-09-16T15:54:01+0200] [ALPM] removed gspell (1.12.2-1)
[2023-09-16T15:54:01+0200] [ALPM] removed gsfonts (20200910-3)
